metode;size;bit;pca;tipe kernel;c;acc
bsif+mtcd;17x17;12;-;linear;100;100
bsif+mtcd;17x17;12;0,8;linear;100;100
bsif+mtcd;17x17;12;0,6;linear;100;100
bsif+mtcd;17x17;12;0,4;linear;100;100
bsif+mtcd;17x17;12;-;linear;10;100
bsif+mtcd;17x17;12;0,8;linear;10;100
bsif+mtcd;17x17;12;0,6;linear;10;100
bsif+mtcd;17x17;12;0,4;linear;10;100
bsif+mtcd;17x17;12;-;linear;1;100
bsif+mtcd;17x17;12;0,8;linear;1;100
bsif+mtcd;17x17;12;0,6;linear;1;100
bsif+mtcd;17x17;12;0,4;linear;1;100
bsif+mtcd;17x17;11;-;linear;100;100
bsif+mtcd;17x17;11;0,8;linear;100;100
bsif+mtcd;17x17;11;0,6;linear;100;100
bsif+mtcd;17x17;11;0,4;linear;100;100
bsif+mtcd;17x17;11;-;linear;10;100
bsif+mtcd;17x17;11;0,8;linear;10;100
bsif+mtcd;17x17;11;0,6;linear;10;100
bsif+mtcd;17x17;11;-;linear;1;100
bsif+mtcd;17x17;11;0,8;linear;1;100
bsif+mtcd;17x17;11;0,6;linear;1;100
bsif+mtcd;17x17;10;-;linear;100;100
bsif+mtcd;17x17;10;0,8;linear;100;100
bsif+mtcd;17x17;10;0,6;linear;100;100
bsif+mtcd;17x17;10;0,4;linear;100;100
bsif+mtcd;17x17;10;-;linear;10;100
bsif+mtcd;17x17;10;0,8;linear;10;100
bsif+mtcd;17x17;10;0,6;linear;10;100
bsif+mtcd;17x17;10;0,4;linear;10;100
bsif+mtcd;17x17;10;-;linear;1;100
bsif+mtcd;17x17;10;0,8;linear;1;100
bsif+mtcd;17x17;10;0,6;linear;1;100
bsif+mtcd;17x17;10;0,4;linear;1;100
bsif+mtcd;17x17;9;-;linear;100;100
bsif+mtcd;17x17;9;0,8;linear;100;100
bsif+mtcd;17x17;9;0,6;linear;100;100
bsif+mtcd;17x17;9;0,4;linear;100;100
bsif+mtcd;17x17;9;-;linear;10;100
bsif+mtcd;17x17;9;0,8;linear;10;100
bsif+mtcd;17x17;9;0,6;linear;10;100
bsif+mtcd;17x17;9;0,4;linear;10;100
bsif+mtcd;17x17;9;-;linear;1;100
bsif+mtcd;17x17;9;0,8;linear;1;100
bsif+mtcd;17x17;9;0,6;linear;1;100
bsif+mtcd;17x17;9;0,4;linear;1;100
bsif+mtcd;17x17;7;-;linear;100;100
bsif+mtcd;17x17;7;0,8;linear;100;100
bsif+mtcd;17x17;7;0,6;linear;100;100
bsif+mtcd;17x17;7;0,4;linear;100;100
bsif+mtcd;17x17;7;-;linear;10;100
bsif+mtcd;17x17;7;0,8;linear;10;100
bsif+mtcd;17x17;7;0,6;linear;10;100
bsif+mtcd;17x17;7;0,4;linear;10;100
bsif+mtcd;17x17;7;-;linear;1;100
bsif+mtcd;17x17;7;0,8;linear;1;100
bsif+mtcd;17x17;7;0,6;linear;1;100
bsif+mtcd;17x17;7;0,4;linear;1;100
bsif+mtcd;17x17;5;-;linear;100;100
bsif+mtcd;17x17;5;0,8;linear;100;100
bsif+mtcd;17x17;5;0,6;linear;100;100
bsif+mtcd;17x17;5;0,4;linear;100;100
bsif+mtcd;17x17;5;-;linear;10;100
bsif+mtcd;17x17;5;0,8;linear;10;100
bsif+mtcd;17x17;5;0,6;linear;10;100
bsif+mtcd;17x17;5;0,4;linear;10;100
bsif+mtcd;17x17;5;-;linear;1;100
bsif+mtcd;17x17;5;0,8;linear;1;100
bsif+mtcd;17x17;5;0,6;linear;1;100
bsif+mtcd;17x17;5;0,4;linear;1;100
bsif+mtcd;15x15;10;-;linear;100;100
bsif+mtcd;15x15;10;0,8;linear;100;100
bsif+mtcd;15x15;10;0,6;linear;100;100
bsif+mtcd;15x15;10;0,4;linear;100;100
bsif+mtcd;15x15;10;-;linear;10;100
bsif+mtcd;15x15;10;0,8;linear;10;100
bsif+mtcd;15x15;10;0,6;linear;10;100
bsif+mtcd;15x15;10;0,4;linear;10;100
bsif+mtcd;15x15;10;-;linear;1;100
bsif+mtcd;15x15;10;0,8;linear;1;100
bsif+mtcd;15x15;10;0,6;linear;1;100
bsif+mtcd;15x15;10;0,4;linear;1;100
bsif+mtcd;15x15;9;-;linear;100;100
bsif+mtcd;15x15;9;0,8;linear;100;100
bsif+mtcd;15x15;9;0,6;linear;100;100
bsif+mtcd;15x15;9;0,4;linear;100;100
bsif+mtcd;15x15;9;-;linear;10;100
bsif+mtcd;15x15;9;0,8;linear;10;100
bsif+mtcd;15x15;9;0,6;linear;10;100
bsif+mtcd;15x15;9;0,4;linear;10;100
bsif+mtcd;15x15;9;-;linear;1;100
bsif+mtcd;15x15;9;0,8;linear;1;100
bsif+mtcd;15x15;9;0,6;linear;1;100
bsif+mtcd;15x15;9;0,4;linear;1;100
bsif+mtcd;13x13;10;-;linear;100;100
bsif+mtcd;13x13;10;0,8;linear;100;100
bsif+mtcd;13x13;10;0,6;linear;100;100
bsif+mtcd;13x13;10;0,4;linear;100;100
bsif+mtcd;13x13;10;-;linear;10;100
bsif+mtcd;13x13;10;0,8;linear;10;100
bsif+mtcd;13x13;10;0,6;linear;10;100
bsif+mtcd;13x13;10;0,4;linear;10;100
bsif+mtcd;13x13;10;-;linear;1;100
bsif+mtcd;13x13;10;0,8;linear;1;100
bsif+mtcd;13x13;10;0,6;linear;1;100
bsif+mtcd;13x13;10;0,4;linear;1;100
bsif+mtcd;17x17;8;-;linear;100;99,948
bsif+mtcd;17x17;8;0,8;linear;100;99,948
bsif+mtcd;17x17;8;0,6;linear;100;99,948
bsif+mtcd;17x17;8;0,4;linear;100;99,948
bsif+mtcd;17x17;8;-;linear;10;99,948
bsif+mtcd;17x17;8;0,8;linear;10;99,948
bsif+mtcd;17x17;8;0,6;linear;10;99,948
bsif+mtcd;17x17;8;0,4;linear;10;99,948
bsif+mtcd;17x17;8;-;linear;1;99,948
bsif+mtcd;17x17;8;0,8;linear;1;99,948
bsif+mtcd;17x17;8;0,6;linear;1;99,948
bsif+mtcd;17x17;8;0,4;linear;1;99,948
bsif+mtcd;13x13;12;-;linear;100;99,948
bsif+mtcd;13x13;12;0,8;linear;100;99,948
bsif+mtcd;13x13;12;0,6;linear;100;99,948
bsif+mtcd;13x13;12;-;linear;10;99,948
bsif+mtcd;13x13;12;0,8;linear;10;99,948
bsif+mtcd;13x13;12;0,6;linear;10;99,948
bsif+mtcd;13x13;12;-;linear;1;99,948
bsif+mtcd;13x13;12;0,8;linear;1;99,948
bsif+mtcd;13x13;12;0,6;linear;1;99,948
bsif+mtcd;15x15;11;-;linear;100;99,948
bsif+mtcd;15x15;11;0,8;linear;100;99,948
bsif+mtcd;15x15;11;0,6;linear;100;99,948
bsif+mtcd;15x15;11;0,4;linear;100;99,948
bsif+mtcd;15x15;11;-;linear;10;99,948
bsif+mtcd;15x15;11;0,8;linear;10;99,948
bsif+mtcd;15x15;11;0,6;linear;10;99,948
bsif+mtcd;15x15;11;0,4;linear;10;99,948
bsif+mtcd;15x15;11;-;linear;1;99,948
bsif+mtcd;15x15;11;0,8;linear;1;99,948
bsif+mtcd;15x15;11;0,6;linear;1;99,948
bsif+mtcd;15x15;11;0,4;linear;1;99,948
bsif+mtcd;17x17;11;0,2;linear;100;99,948
bsif+mtcd;17x17;11;0,4;linear;10;99,948
bsif+mtcd;17x17;11;0,2;linear;10;99,948
bsif+mtcd;17x17;11;0,4;linear;1;99,948
bsif+mtcd;17x17;11;0,2;linear;1;99,948
bsif+mtcd;17x17;10;0,2;linear;100;99,948
bsif+mtcd;17x17;10;0,2;linear;10;99,948
bsif+mtcd;17x17;10;0,2;linear;1;99,948
bsif+mtcd;17x17;9;0,2;linear;100;99,948
bsif+mtcd;17x17;9;0,2;linear;10;99,948
bsif+mtcd;17x17;9;0,2;linear;1;99,948
bsif+mtcd;13x13;11;-;linear;100;99,948
bsif+mtcd;13x13;11;0,8;linear;100;99,948
bsif+mtcd;13x13;11;0,6;linear;100;99,948
bsif+mtcd;13x13;11;-;linear;10;99,948
bsif+mtcd;13x13;11;0,8;linear;10;99,948
bsif+mtcd;13x13;11;0,6;linear;10;99,948
bsif+mtcd;13x13;11;-;linear;1;99,948
bsif+mtcd;13x13;11;0,8;linear;1;99,948
bsif+mtcd;13x13;11;0,6;linear;1;99,948
bsif+mtcd;17x17;6;-;linear;100;99,896
bsif+mtcd;17x17;6;0,8;linear;100;99,896
bsif+mtcd;17x17;6;0,6;linear;100;99,896
