metode;size;bit;pca ;tipe kernel;c;acc
bsif;15x15;10;1;linear;100;99,948
bsif;15x15;10;1;linear;10;99,948
bsif;15x15;10;1;linear;1;99,948
bsif;17x17;9;0,6;linear;100;99,896
bsif;17x17;9;0,6;linear;10;99,896
bsif;17x17;9;0,6;linear;1;99,896
bsif;15x15;10;0,8;linear;100;99,896
bsif;15x15;10;0,8;linear;10;99,896
bsif;15x15;10;0,8;linear;1;99,896
bsif;17x17;9;0,4;linear;100;99,844
bsif;17x17;9;0,4;linear;10;99,844
bsif;17x17;9;0,4;linear;1;99,844
bsif;15x15;10;0,6;linear;10;99,844
bsif;17x17;9;1;linear;100;99,844
bsif;17x17;9;0,8;linear;100;99,844
bsif;17x17;9;1;linear;10;99,844
bsif;17x17;9;0,8;linear;10;99,844
bsif;17x17;9;1;linear;1;99,844
bsif;17x17;9;0,8;linear;1;99,844
bsif;15x15;10;0,6;linear;1;99,844
bsif;15x15;10;0,6;linear;100;99,792
bsif;17x17;12;1;linear;100;99,792
bsif;17x17;12;0,8;linear;100;99,792
bsif;17x17;12;1;linear;10;99,792
bsif;17x17;12;0,8;linear;10;99,792
bsif;17x17;12;0,6;linear;10;99,792
bsif;17x17;12;1;linear;1;99,792
bsif;17x17;12;0,8;linear;1;99,792
bsif;15x15;10;0,4;linear;100;99,74
bsif;17x17;10;0,8;linear;100;99,74
bsif;17x17;10;0,8;linear;10;99,74
bsif;17x17;10;0,8;linear;1;99,74
bsif;17x17;12;0,6;linear;100;99,74
bsif;17x17;12;0,6;linear;1;99,74
bsif;15x15;9;0,8;linear;100;99,74
bsif;15x15;9;0,8;linear;10;99,74
bsif;15x15;9;0,8;linear;1;99,74
bsif;15x15;10;0,4;linear;10;99,688
bsif;15x15;10;0,4;linear;1;99,688
bsif;17x17;12;0,4;linear;100;99,635
bsif;17x17;12;0,4;linear;10;99,635
bsif;17x17;12;0,4;linear;1;99,635
bsif;17x17;11;1;linear;100;99,635
bsif;17x17;11;0,8;linear;100;99,635
bsif;17x17;11;0,6;linear;100;99,635
bsif;17x17;11;0,4;linear;100;99,635
bsif;17x17;11;1;linear;10;99,635
bsif;17x17;11;0,8;linear;10;99,635
bsif;17x17;11;0,6;linear;10;99,635
bsif;17x17;11;0,4;linear;10;99,635
bsif;17x17;11;1;linear;1;99,635
bsif;17x17;11;0,8;linear;1;99,635
bsif;17x17;11;0,6;linear;1;99,635
bsif;17x17;11;0,4;linear;1;99,635
bsif;15x15;9;1;linear;100;99,583
bsif;15x15;9;1;linear;10;99,583
bsif;15x15;9;1;linear;1;99,583
bsif;17x17;8;1;linear;100;99,583
bsif;17x17;8;0,8;linear;100;99,583
bsif;17x17;8;1;linear;10;99,583
bsif;17x17;8;0,8;linear;10;99,583
bsif;17x17;8;1;linear;1;99,583
bsif;17x17;8;0,8;linear;1;99,583
bsif;17x17;10;1;linear;100;99,583
bsif;17x17;10;0,6;linear;100;99,583
bsif;17x17;10;1;linear;10;99,583
bsif;17x17;10;0,6;linear;10;99,583
bsif;17x17;10;1;linear;1;99,583
bsif;17x17;10;0,6;linear;1;99,583
bsif;15x15;11;1;linear;100;99,583
bsif;15x15;11;1;linear;10;99,583
bsif;15x15;11;1;linear;1;99,583
bsif;17x17;8;0,6;linear;100;99,531
bsif;17x17;8;0,6;linear;10;99,531
bsif;17x17;8;0,6;linear;1;99,531
bsif;15x15;9;0,6;linear;100;99,531
bsif;15x15;11;0,8;linear;100;99,531
bsif;15x15;11;0,8;linear;10;99,531
bsif;15x15;11;0,8;linear;1;99,531
bsif;15x15;9;0,6;linear;10;99,479
bsif;17x17;7;1;linear;100;99,427
bsif;17x17;7;1;linear;10;99,427
bsif;17x17;7;1;linear;1;99,427
bsif;15x15;8;1;linear;100;99,427
bsif;15x15;8;0,8;linear;100;99,427
bsif;15x15;8;1;linear;10;99,427
bsif;15x15;8;0,8;linear;10;99,427
bsif;15x15;8;1;linear;1;99,427
bsif;15x15;8;0,8;linear;1;99,427
bsif;15x15;9;0,6;linear;1;99,427
bsif;15x15;11;0,6;linear;10;99,375
bsif;15x15;11;0,6;linear;100;99,375
bsif;15x15;11;0,6;linear;1;99,375
bsif;17x17;10;0,4;linear;100;99,375
bsif;17x17;10;0,4;linear;1;99,375
bsif;17x17;10;0,4;linear;10;99,323
bsif;17x17;7;0,8;linear;100;99,271
bsif;17x17;7;0,8;linear;10;99,271
bsif;17x17;7;0,8;linear;1;99,271
bsif;15x15;8;0,6;linear;100;99,219
bsif;15x15;8;0,6;linear;10;99,219
bsif;15x15;8;0,6;linear;1;99,219
bsif;15x15;9;0,4;linear;1;99,219
bsif;17x17;7;0,6;linear;100;99,167
bsif;17x17;7;0,6;linear;10;99,167
bsif;17x17;7;0,6;linear;1;99,167
bsif;15x15;9;0,4;linear;100;99,167
bsif;15x15;9;0,4;linear;10;99,167
bsif;15x15;12;1;linear;100;99,167
bsif;15x15;12;1;linear;10;99,167
bsif;15x15;12;1;linear;1;99,167
bsif;15x15;12;0,8;linear;100;99,115
bsif;15x15;12;0,8;linear;10;99,115
bsif;15x15;12;0,8;linear;1;99,115
bsif;17x17;8;0,4;linear;1;99,115
bsif;15x15;11;0,4;linear;10;99,115
bsif;17x17;8;0,4;linear;10;99,063
bsif;15x15;11;0,4;linear;100;99,063
bsif;17x17;8;0,4;linear;100;99,01
bsif;13x13;9;1;linear;100;99,01
bsif;13x13;9;1;linear;10;99,01
bsif;13x13;9;1;linear;1;99,01
bsif;15x15;7;1;linear;100;98,958
bsif;15x15;7;1;linear;10;98,958
bsif;15x15;7;1;linear;1;98,958
bsif;15x15;12;0,6;linear;10;98,958
bsif;15x15;11;0,4;linear;1;98,958
bsif;15x15;7;0,6;linear;10;98,906
bsif;15x15;12;0,6;linear;100;98,906
bsif;13x13;9;0,8;linear;100;98,906
bsif;13x13;9;0,8;linear;10;98,906
bsif;13x13;9;0,8;linear;1;98,906
bsif;15x15;7;0,6;linear;100;98,854
bsif;15x15;7;0,6;linear;1;98,854
bsif;15x15;8;0,4;linear;100;98,854
bsif;15x15;8;0,4;linear;10;98,854
bsif;15x15;8;0,4;linear;1;98,854
bsif;13x13;10;1;linear;100;98,854
bsif;13x13;10;0,8;linear;100;98,854
bsif;13x13;10;1;linear;10;98,854
bsif;13x13;10;0,8;linear;10;98,854
bsif;13x13;10;1;linear;1;98,854
bsif;13x13;10;0,8;linear;1;98,854
bsif;15x15;7;0,8;linear;100;98,854
bsif;15x15;7;0,8;linear;10;98,854
bsif;15x15;7;0,8;linear;1;98,854
bsif;15x15;12;0,6;linear;1;98,854
bsif;13x13;9;0,6;linear;10;98,802
bsif;17x17;10;0,2;linear;10;98,802
bsif;13x13;9;0,6;linear;100;98,75
bsif;13x13;9;0,6;linear;1;98,75
bsif;17x17;7;0,4;linear;100;98,698
