metode;size;bit;pca;tipe kernel;c;acc
mtcd+bsif;17x17;12;1;linear;100;100
mtcd+bsif;17x17;12;0,8;linear;100;100
mtcd+bsif;17x17;12;0,6;linear;100;100
mtcd+bsif;17x17;12;0,4;linear;100;100
mtcd+bsif;17x17;12;1;linear;10;100
mtcd+bsif;17x17;12;0,8;linear;10;100
mtcd+bsif;17x17;12;0,6;linear;10;100
mtcd+bsif;17x17;12;0,4;linear;10;100
mtcd+bsif;17x17;12;1;linear;1;100
mtcd+bsif;17x17;12;0,8;linear;1;100
mtcd+bsif;17x17;12;0,6;linear;1;100
mtcd+bsif;17x17;12;0,4;linear;1;100
mtcd+bsif;17x17;11;1;linear;100;100
mtcd+bsif;17x17;11;0,8;linear;100;100
mtcd+bsif;17x17;11;0,6;linear;100;100
mtcd+bsif;17x17;11;0,4;linear;100;100
mtcd+bsif;17x17;11;1;linear;10;100
mtcd+bsif;17x17;11;0,8;linear;10;100
mtcd+bsif;17x17;11;0,6;linear;10;100
mtcd+bsif;17x17;11;1;linear;1;100
mtcd+bsif;17x17;11;0,8;linear;1;100
mtcd+bsif;17x17;11;0,6;linear;1;100
mtcd+bsif;17x17;11;0,4;linear;1;100
mtcd+bsif;17x17;10;1;linear;100;100
mtcd+bsif;17x17;10;0,8;linear;100;100
mtcd+bsif;17x17;10;0,6;linear;100;100
mtcd+bsif;17x17;10;0,4;linear;100;100
mtcd+bsif;17x17;10;1;linear;10;100
mtcd+bsif;17x17;10;0,8;linear;10;100
mtcd+bsif;17x17;10;0,6;linear;10;100
mtcd+bsif;17x17;10;0,4;linear;10;100
mtcd+bsif;17x17;10;1;linear;1;100
mtcd+bsif;17x17;10;0,8;linear;1;100
mtcd+bsif;17x17;10;0,6;linear;1;100
mtcd+bsif;17x17;10;0,4;linear;1;100
mtcd+bsif;17x17;9;1;linear;100;100
mtcd+bsif;17x17;9;0,8;linear;100;100
mtcd+bsif;17x17;9;0,6;linear;100;100
mtcd+bsif;17x17;9;0,4;linear;100;100
mtcd+bsif;17x17;9;1;linear;10;100
mtcd+bsif;17x17;9;0,8;linear;10;100
mtcd+bsif;17x17;9;0,6;linear;10;100
mtcd+bsif;17x17;9;0,4;linear;10;100
mtcd+bsif;17x17;9;1;linear;1;100
mtcd+bsif;17x17;9;0,8;linear;1;100
mtcd+bsif;17x17;9;0,6;linear;1;100
mtcd+bsif;17x17;9;0,4;linear;1;100
mtcd+bsif;17x17;7;1;linear;100;100
mtcd+bsif;17x17;7;0,8;linear;100;100
mtcd+bsif;17x17;7;0,6;linear;100;100
mtcd+bsif;17x17;7;0,4;linear;100;100
mtcd+bsif;17x17;7;1;linear;10;100
mtcd+bsif;17x17;7;0,8;linear;10;100
mtcd+bsif;17x17;7;0,6;linear;10;100
mtcd+bsif;17x17;7;0,4;linear;10;100
mtcd+bsif;17x17;7;1;linear;1;100
mtcd+bsif;17x17;7;0,8;linear;1;100
mtcd+bsif;17x17;7;0,6;linear;1;100
mtcd+bsif;17x17;7;0,4;linear;1;100
mtcd+bsif;17x17;5;1;linear;100;100
