metode;pca;tipe kernel;c;acc
mtcd;0,4;linear;100;99,479
mtcd;0,4;linear;10;99,479
mtcd;0,4;linear;1;99,479
mtcd;1;linear;100;99,375
mtcd;0,8;linear;100;99,375
mtcd;0,6;linear;100;99,375
mtcd;1;linear;10;99,375
mtcd;0,8;linear;10;99,375
mtcd;0,6;linear;10;99,375
mtcd;1;linear;1;99,375
mtcd;0,8;linear;1;99,375
mtcd;0,6;linear;1;99,375
mtcd;0,4;rbf;10;98,958
mtcd;0,4;rbf;100;98,906
mtcd;1;rbf;10;98,854
mtcd;0,8;rbf;10;98,854
mtcd;0,6;rbf;10;98,854
mtcd;1;rbf;100;98,802
mtcd;0,8;rbf;100;98,802
mtcd;0,6;rbf;100;98,802
mtcd;0,2;linear;1;98,646
mtcd;0,2;linear;100;98,594
mtcd;0,2;linear;10;98,594
mtcd;0,2;rbf;100;98,281
mtcd;0,2;rbf;10;98,073
mtcd;1;poly;100;96,406
mtcd;0,8;poly;100;96,406
mtcd;0,6;poly;100;96,406
mtcd;0,4;poly;100;96,25
mtcd;1;rbf;1;95,208
mtcd;0,8;rbf;1;95,208
mtcd;0,6;rbf;1;95,208
mtcd;0,4;rbf;1;94,583
mtcd;0,2;poly;100;94,167
mtcd;0,2;rbf;1;92,135
mtcd;1;sigmoid;10;89,219
mtcd;0,8;sigmoid;10;89,167
mtcd;0,6;sigmoid;10;89,167
mtcd;0,4;sigmoid;10;88,594
mtcd;0,8;poly;10;88,021
mtcd;0,6;poly;10;88,021
mtcd;1;poly;10;87,969
mtcd;0,4;poly;10;87,969
mtcd;1;sigmoid;100;86,51
mtcd;0,6;sigmoid;100;86,51
mtcd;0,8;sigmoid;100;86,406
mtcd;0,4;sigmoid;100;85,938
mtcd;1;sigmoid;1;85,938
mtcd;0,8;sigmoid;1;85,938
mtcd;0,6;sigmoid;1;85,938
mtcd;0,2;poly;10;85,052
mtcd;0,4;sigmoid;1;84,948
mtcd;0,2;sigmoid;10;81,979
mtcd;0,2;sigmoid;100;78,75
mtcd;0,2;sigmoid;1;76,875
mtcd;0,4;poly;1;65,885
mtcd;1;poly;1;65,677
mtcd;0,8;poly;1;65,677
mtcd;0,6;poly;1;65,677
mtcd;0,2;poly;1;64,74
